secao,proporcao_ideal,papel,arquivo,pasta,tipo,origem,crop_desktop,crop_mobile
HOME / HERO,Desktop 16:9 a 2:1 (exportar 2880×1500) · Mobile 4:5 (1080×1350),recomendado,hero-04-chain-necklace-sculptural-earring-hand-left-space_plus-preview.jpg,01-HERO,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/2hOCt5riO8A,"Sim — de 3:2 para ~1,93:1, cortar topo (manter olhos) e base (manter mão).",Sim — 4:5 centrado em orelha + colar; o título passa a ficar sobre o colo/fundo.
HOME / HERO,Desktop 16:9 a 2:1 (exportar 2880×1500) · Mobile 4:5 (1080×1350),alternativa,hero-02-pearls-gold-pendant-black-blazer_plus-preview.jpg,01-HERO,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/dGaxUeoVEUs,"Sim — de 3:2 para ~1,93:1, cortar topo (manter olhos) e base (manter mão).",Sim — 4:5 centrado em orelha + colar; o título passa a ficar sobre o colo/fundo.
HOME / HERO,Desktop 16:9 a 2:1 (exportar 2880×1500) · Mobile 4:5 (1080×1350),alternativa,hero-01-warm-neutral-earring-hand-negative-space_plus-preview.jpg,01-HERO,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/0_D7Xs47H8M,"Sim — de 3:2 para ~1,93:1, cortar topo (manter olhos) e base (manter mão).",Sim — 4:5 centrado em orelha + colar; o título passa a ficar sobre o colo/fundo.
HOME / HERO,Desktop 16:9 a 2:1 (exportar 2880×1500) · Mobile 4:5 (1080×1350),alternativa,hero-03-silver-hoop-turtleneck-leaf-shadows.jpg,01-HERO,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/Q2SQygMd4UU,"Sim — de 3:2 para ~1,93:1, cortar topo (manter olhos) e base (manter mão).",Sim — 4:5 centrado em orelha + colar; o título passa a ficar sobre o colo/fundo.
HOME / SELEÇÃO HERTMANN (rail),1:1 (exportar 1000×1000),recomendado,closeup-necklace-02-herringbone-black-blazer.jpg,02-SELECAO-HERTMANN,USE-CANDIDATE (Unsplash License),https://unsplash.com/photos/Ks6wd1Zyf1o,Sim — crop quadrado centrado na peça.,Não (mesmo 1:1).
HOME / SELEÇÃO HERTMANN (rail),1:1 (exportar 1000×1000),alternativa,closeup-earring-03-oval-hoop-hand-warm_plus-preview.jpg,02-SELECAO-HERTMANN,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/RrLBLpOHdIk,Sim — crop quadrado centrado na peça.,Não (mesmo 1:1).
HOME / SELEÇÃO HERTMANN (rail),1:1 (exportar 1000×1000),alternativa,closeup-ring-03-sculptural-gold-rings-hands_plus-preview.jpg,02-SELECAO-HERTMANN,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/gXYq4V8R8QE,Sim — crop quadrado centrado na peça.,Não (mesmo 1:1).
HOME / SELEÇÃO HERTMANN (rail),1:1 (exportar 1000×1000),alternativa,editorial-05-chain-necklace-rings-black-dress_plus-preview.jpg,02-SELECAO-HERTMANN,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/fRK4moMjMFE,Sim — crop quadrado centrado na peça.,Não (mesmo 1:1).
HOME / EDITORIAL 50-50 · 'Vertente',1:1 desktop (1600×1600) · 4:5 mobile,recomendado,editorial-04-chain-necklace-hoop-black-one-shoulder_plus-preview.jpg,03-EDITORIAL-50-50,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/IfwZTOiNY70,Sim — de 3:2 para 1:1.,Sim — 4:5.
HOME / EDITORIAL 50-50 · 'Vertente',1:1 desktop (1600×1600) · 4:5 mobile,alternativa,editorial-06-hoop-layered-necklaces-eyes-closed_plus-preview.jpg,03-EDITORIAL-50-50,USE-CANDIDATE (Unsplash+ preview),https://unsplash.com/photos/GSB2Y5o82dI,Sim — de 3:2 para 1:1.,Sim — 4:5.
